Run,Strategy,DataType,BTCChange%,PortfolioChange%
50,SimpleMomentum,Noise3,1.8800,11.4663
50,BollingerBands,Noise3,1.8800,44.7234
50,SimpleMomentum,Noise6,-7.6378,17.9058
50,BollingerBands,Noise6,-7.6378,46.0590
51,SimpleMomentum,Normal,1.8735,0.0824
51,BollingerBands,Normal,1.8735,2.0988
51,SimpleMomentum,Noise3,2.9051,10.1302
51,BollingerBands,Noise3,2.9051,17.8214
51,SimpleMomentum,Noise6,-17.4596,17.7491
51,BollingerBands,Noise6,-17.4596,0.0000
52,SimpleMomentum,Normal,0.6260,-0.0004
52,BollingerBands,Normal,0.6260,0.8104
52,SimpleMomentum,Noise3,7.4493,9.8499
52,BollingerBands,Noise3,7.4493,0.0000
52,SimpleMomentum,Noise6,-1.6114,13.3426
52,BollingerBands,Noise6,-1.6114,26.9342
53,SimpleMomentum,Normal,1.3986,0.4049
53,BollingerBands,Normal,1.3986,-0.2140
53,SimpleMomentum,Noise3,-4.4594,10.1060
53,BollingerBands,Noise3,-4.4594,24.5228
53,SimpleMomentum,Noise6,6.5038,21.8028
53,BollingerBands,Noise6,6.5038,219.7384
54,SimpleMomentum,Normal,-2.2134,2.1905
54,BollingerBands,Normal,-2.2134,-4.2186
54,SimpleMomentum,Noise3,-2.4614,9.5500
54,BollingerBands,Noise3,-2.4614,44.7234
54,SimpleMomentum,Noise6,-6.7882,22.3217
54,BollingerBands,Noise6,-6.7882,46.0590
55,SimpleMomentum,Normal,-1.7778,-0.3415
55,BollingerBands,Normal,-1.7778,-0.8703
55,SimpleMomentum,Noise3,-9.5629,6.8128
55,BollingerBands,Noise3,-9.5629,9.8357
55,SimpleMomentum,Noise6,7.8547,16.9708
55,BollingerBands,Noise6,7.8547,0.0000
56,SimpleMomentum,Normal,0.8709,0.5520
56,BollingerBands,Normal,0.8709,0.1119
56,SimpleMomentum,Noise3,-8.6924,6.7260
56,BollingerBands,Noise3,-8.6924,13.0514
56,SimpleMomentum,Noise6,1.7184,16.7629
56,BollingerBands,Noise6,1.7184,26.9342
57,SimpleMomentum,Normal,-8.3769,-0.4692
57,BollingerBands,Normal,-8.3769,-3.2967
57,SimpleMomentum,Noise3,-6.7213,6.2724
57,BollingerBands,Noise3,-6.7213,44.7234
57,SimpleMomentum,Noise6,-2.5516,20.6450
57,BollingerBands,Noise6,-2.5516,46.0590
58,SimpleMomentum,Normal,1.5888,0.0701
58,BollingerBands,Normal,1.5888,2.0988
58,SimpleMomentum,Noise3,7.9638,8.9390
58,BollingerBands,Noise3,7.9638,17.8214
58,SimpleMomentum,Noise6,2.2623,19.9896
58,BollingerBands,Noise6,2.2623,0.0000
59,SimpleMomentum,Normal,-0.1399,0.1062
59,BollingerBands,Normal,-0.1399,2.2308
59,SimpleMomentum,Noise3,6.0858,9.4776
59,BollingerBands,Noise3,6.0858,18.4850
59,SimpleMomentum,Noise6,-8.0644,15.6672
59,BollingerBands,Noise6,-8.0644,84.2675
60,SimpleMomentum,Normal,1.4206,0.0564
60,BollingerBands,Normal,1.4206,2.2308
60,SimpleMomentum,Noise3,9.6068,12.5311
60,BollingerBands,Noise3,9.6068,7.3924
60,SimpleMomentum,Noise6,8.2857,18.7547
60,BollingerBands,Noise6,8.2857,84.2675
61,SimpleMomentum,Normal,2.9991,0.0000
61,BollingerBands,Normal,2.9991,1.9102
61,SimpleMomentum,Noise3,2.5265,12.5943
61,BollingerBands,Noise3,2.5265,0.0000
61,SimpleMomentum,Noise6,-0.8963,20.4451
61,BollingerBands,Noise6,-0.8963,72.5193
62,SimpleMomentum,Normal,6.5963,0.0969
62,BollingerBands,Normal,6.5963,2.5361
62,SimpleMomentum,Noise3,4.2196,10.0394
62,BollingerBands,Noise3,4.2196,0.0000
62,SimpleMomentum,Noise6,7.6381,24.2623
62,BollingerBands,Noise6,7.6381,77.8196
